Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Logistic Regression,0.883 ± 0.013,0.750 ± 0.082,0.406 ± 0.059,0.525 ± 0.060,0.836 ± 0.028
Preprocessed (All Features),Random Forest,0.861 ± 0.010,0.792 ± 0.131,0.176 ± 0.051,0.285 ± 0.072,0.805 ± 0.034
Preprocessed (All Features),XGBoost,0.866 ± 0.013,0.672 ± 0.094,0.323 ± 0.059,0.433 ± 0.064,0.800 ± 0.034
Preprocessed (All Features),SVM,0.840 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.829 ± 0.030
Preprocessed (Selected Features),Logistic Regression,0.885 ± 0.012,0.770 ± 0.081,0.403 ± 0.055,0.527 ± 0.057,0.837 ± 0.028
Preprocessed (Selected Features),Random Forest,0.861 ± 0.010,0.778 ± 0.125,0.181 ± 0.050,0.291 ± 0.070,0.808 ± 0.033
Preprocessed (Selected Features),XGBoost,0.865 ± 0.013,0.664 ± 0.086,0.325 ± 0.058,0.434 ± 0.064,0.797 ± 0.032
Preprocessed (Selected Features),SVM,0.867 ± 0.008,0.858 ± 0.106,0.202 ± 0.044,0.324 ± 0.060,0.821 ± 0.027
SMOTE Balanced (All Features),Logistic Regression,0.889 ± 0.013,0.912 ± 0.018,0.861 ± 0.019,0.886 ± 0.014,0.951 ± 0.008
SMOTE Balanced (All Features),Random Forest,0.940 ± 0.010,0.959 ± 0.013,0.919 ± 0.017,0.939 ± 0.010,0.985 ± 0.004
SMOTE Balanced (All Features),XGBoost,0.932 ± 0.010,0.953 ± 0.013,0.910 ± 0.017,0.931 ± 0.011,0.978 ± 0.005
SMOTE Balanced (All Features),SVM,0.750 ± 0.020,0.773 ± 0.022,0.709 ± 0.033,0.739 ± 0.024,0.800 ± 0.014
SMOTE Balanced (Selected Features),Logistic Regression,0.852 ± 0.016,0.860 ± 0.021,0.842 ± 0.022,0.851 ± 0.016,0.922 ± 0.010
SMOTE Balanced (Selected Features),Random Forest,0.939 ± 0.011,0.960 ± 0.014,0.916 ± 0.018,0.937 ± 0.011,0.984 ± 0.004
SMOTE Balanced (Selected Features),XGBoost,0.931 ± 0.010,0.953 ± 0.012,0.907 ± 0.017,0.930 ± 0.011,0.978 ± 0.005
SMOTE Balanced (Selected Features),SVM,0.904 ± 0.012,0.919 ± 0.015,0.887 ± 0.020,0.903 ± 0.012,0.967 ± 0.006
