Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Logistic Regression,0.8707482993197279,0.6956521739130435,0.3404255319148936,0.45714285714285713,0.8134206219312601
Preprocessed (All Features),Random Forest,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.7992505814454303
Preprocessed (All Features),XGBoost,0.8741496598639455,0.8125,0.2765957446808511,0.4126984126984127,0.7374450857093634
Preprocessed (All Features),SVM,0.8401360544217688,0.0,0.0,0.0,0.8033422344732535
Preprocessed (Selected Features),Logistic Regression,0.8775510204081632,0.7391304347826086,0.3617021276595745,0.4857142857142857,0.8216900680506504
Preprocessed (Selected Features),Random Forest,0.8435374149659864,0.5384615384615384,0.14893617021276595,0.23333333333333334,0.8027392540270479
Preprocessed (Selected Features),XGBoost,0.8571428571428571,0.6190476190476191,0.2765957446808511,0.38235294117647056,0.7536394176931691
Preprocessed (Selected Features),SVM,0.8707482993197279,0.9090909090909091,0.2127659574468085,0.3448275862068966,0.8216039279869067
SMOTE Balanced (All Features),Logistic Regression,0.8906882591093117,0.9106382978723404,0.8663967611336032,0.8879668049792531,0.9466144339359767
SMOTE Balanced (All Features),Random Forest,0.9311740890688259,0.9382716049382716,0.9230769230769231,0.9306122448979591,0.9835434116277927
SMOTE Balanced (All Features),XGBoost,0.9291497975708503,0.9529914529914529,0.902834008097166,0.9272349272349273,0.9803471618941467
SMOTE Balanced (All Features),SVM,0.7753036437246964,0.7905982905982906,0.7489878542510121,0.7692307692307693,0.7995705551639923
SMOTE Balanced (Selected Features),Logistic Regression,0.8582995951417004,0.8641975308641975,0.8502024291497976,0.8571428571428571,0.9195856349063253
SMOTE Balanced (Selected Features),Random Forest,0.9190283400809717,0.9330543933054394,0.902834008097166,0.9176954732510288,0.9811093445229392
SMOTE Balanced (Selected Features),XGBoost,0.9230769230769231,0.9446808510638298,0.8987854251012146,0.921161825726141,0.9765772263108722
SMOTE Balanced (Selected Features),SVM,0.8967611336032388,0.9224137931034483,0.8663967611336032,0.8935281837160751,0.9680702847120916
