Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Voting (Hard),0.878 ± 0.006,0.856 ± 0.065,0.291 ± 0.023,0.434 ± 0.029,
Preprocessed (All Features),Voting (Soft),0.876 ± 0.010,0.822 ± 0.102,0.304 ± 0.034,0.441 ± 0.042,0.835 ± 0.019
Preprocessed (All Features),Stacking,0.879 ± 0.009,0.750 ± 0.057,0.376 ± 0.035,0.500 ± 0.038,0.840 ± 0.020
Preprocessed (Selected Features),Voting (Hard),0.873 ± 0.008,0.779 ± 0.051,0.295 ± 0.048,0.426 ± 0.053,
Preprocessed (Selected Features),Voting (Soft),0.870 ± 0.005,0.764 ± 0.044,0.283 ± 0.030,0.411 ± 0.032,0.831 ± 0.021
Preprocessed (Selected Features),Stacking,0.879 ± 0.009,0.754 ± 0.054,0.371 ± 0.035,0.497 ± 0.039,0.837 ± 0.020
SMOTE Balanced (All Features),Voting (Hard),0.937 ± 0.013,0.961 ± 0.015,0.912 ± 0.014,0.935 ± 0.014,
SMOTE Balanced (All Features),Voting (Soft),0.937 ± 0.012,0.961 ± 0.011,0.912 ± 0.017,0.935 ± 0.013,0.981 ± 0.005
SMOTE Balanced (All Features),Stacking,0.939 ± 0.010,0.957 ± 0.011,0.920 ± 0.016,0.938 ± 0.011,0.982 ± 0.004
SMOTE Balanced (Selected Features),Voting (Hard),0.935 ± 0.014,0.958 ± 0.013,0.910 ± 0.023,0.933 ± 0.015,
SMOTE Balanced (Selected Features),Voting (Soft),0.934 ± 0.009,0.957 ± 0.007,0.909 ± 0.018,0.932 ± 0.010,0.978 ± 0.006
SMOTE Balanced (Selected Features),Stacking,0.936 ± 0.013,0.951 ± 0.014,0.918 ± 0.021,0.934 ± 0.014,0.981 ± 0.006
