Dataset,Model,Run,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Preprocessed (All Features),Logistic Regression,1,0.8673469387755102,0.6428571428571429,0.3829787234042553,0.48,0.8597639762253424
Preprocessed (All Features),Logistic Regression,2,0.8809523809523809,0.6875,0.46808510638297873,0.5569620253164557,0.8310793349987079
Preprocessed (All Features),Logistic Regression,3,0.8775510204081632,0.7037037037037037,0.40425531914893614,0.5135135135135135,0.79782927039366
Preprocessed (All Features),Logistic Regression,4,0.8707482993197279,0.7142857142857143,0.3191489361702128,0.4411764705882353,0.8597639762253424
Preprocessed (All Features),Logistic Regression,5,0.8571428571428571,0.5862068965517241,0.3617021276595745,0.4473684210526316,0.7886122835730899
Preprocessed (All Features),Logistic Regression,6,0.8877551020408163,0.75,0.44680851063829785,0.56,0.8682918425359635
Preprocessed (All Features),Logistic Regression,7,0.891156462585034,0.8,0.425531914893617,0.5555555555555556,0.8564906538030838
Preprocessed (All Features),Logistic Regression,8,0.8979591836734694,0.8148148148148148,0.46808510638297873,0.5945945945945946,0.8103195796364889
Preprocessed (All Features),Logistic Regression,9,0.8639455782312925,0.6666666666666666,0.2978723404255319,0.4117647058823529,0.8224653286243432
Preprocessed (All Features),Logistic Regression,10,0.8809523809523809,0.75,0.3829787234042553,0.5070422535211268,0.8242742699629597
Preprocessed (All Features),Logistic Regression,11,0.8945578231292517,0.8076923076923077,0.44680851063829785,0.5753424657534246,0.8680334223447325
Preprocessed (All Features),Logistic Regression,12,0.8775510204081632,0.72,0.3829787234042553,0.5,0.8434835041777932
Preprocessed (All Features),Logistic Regression,13,0.8673469387755102,0.6818181818181818,0.3191489361702128,0.43478260869565216,0.8363338788870703
Preprocessed (All Features),Logistic Regression,14,0.8605442176870748,0.6153846153846154,0.3404255319148936,0.4383561643835616,0.7820656387285726
Preprocessed (All Features),Logistic Regression,15,0.8673469387755102,0.6666666666666666,0.3404255319148936,0.4507042253521127,0.8606253768627788
Preprocessed (All Features),Logistic Regression,16,0.8809523809523809,0.7727272727272727,0.3617021276595745,0.4927536231884058,0.8589887156516495
Preprocessed (All Features),Logistic Regression,17,0.8877551020408163,0.75,0.44680851063829785,0.56,0.786114221724524
Preprocessed (All Features),Logistic Regression,18,0.8809523809523809,0.75,0.3829787234042553,0.5070422535211268,0.8740632268067877
Preprocessed (All Features),Logistic Regression,19,0.8775510204081632,0.7037037037037037,0.40425531914893614,0.5135135135135135,0.8289258334051167
Preprocessed (All Features),Logistic Regression,20,0.8571428571428571,0.5862068965517241,0.3617021276595745,0.4473684210526316,0.793436127142734
Preprocessed (All Features),Logistic Regression,21,0.8741496598639455,0.6785714285714286,0.40425531914893614,0.5066666666666667,0.8155741235248514
Preprocessed (All Features),Logistic Regression,22,0.8979591836734694,0.84,0.44680851063829785,0.5833333333333334,0.8823326729261781
Preprocessed (All Features),Logistic Regression,23,0.891156462585034,0.8571428571428571,0.3829787234042553,0.5294117647058824,0.8594194159703678
